Epig. 1,"A stranger from Atarneus thus asked Pittacus of Mytilene, the son of Hyrrhas: ""Reverend Father, two marriages invite me. One lady is my equal in wealth and blood: the other is above my station. Which is better? Come advise me whether of those I should lead to the altar."" So he spake: and Pittacus lifted up his staff, the old man's weapon, and said: ""Lo! these yonder shall tell thee all."" Now these were boys who at a wide crossing were spinning their swift tops with blows of the lash. ""Follow their tracks,"" saith he. And the stranger stood by them, and they were saying: ""Keep your own rank!"" When the stranger heard the words, he laid to heart the saying of the boys and spared to grasp at the greater estate. Now, even as he led home the humble bride, so go thou and keep thine own rank."
Epig. 2,"One told me, Heracleitus, of thy death and brought me to tears, and I remembered how often we two in talking put the sun to rest. Thou, methinks, Halicarnasian friend, art ashes long and long ago ; but thy nightingales live still, whereon Hades, snatcher of all things, shall not lay his hand."
Epig. 3,"[All about my grave are sharp thorns and stakes: thou wilt hurt thy feet if thou comest nigh:] I, Timon, hater of men, inhabit here; but go thou by; curse me as thou wilt, but go."
Epig. 4,"Bid me not "" farewell,"" evil heart, but go by. It is well with me if thou refrain from laughter."
Epig. 5,"Timon (for thou art no more), which is hateful to thee - Darkness or Light? ""The Darkness, for there are more of you in Hades."""
Epig. 6,"An old shell am I, O Lady of Zephyrium, but now, Cypris, I am thine, a first offering from Selenaea : I the nautilus that used to sail upon the sea, if there were wind, stretching my sail on my own forestays, if Calm [Galenaea], that bright goddess, prevailed, rowing strongly with my feet - so that my name befits my deed ! - till I fell on the shores of Iulis, that I might become thy admired toy, Arsinoē, and that in my chambers may no more be laid, as erstwhile - for I am dead - the eggs of the water-haunting kingfisher. But give thou grace to the daughter of Cleinias ; for she knows to do good deeds and she is from Aeolian Smyrna."
Epig. 7,"I am the work of the Samian, who once received the divine singer in his house ; and I celebrate the sufferings of Eurytus and of fair-haired Ioleia ; but I am called the writing of Homer. Dear Zeus, for Creophylus this is a great thing."
Epig. 8,"A youth was garlanding the grave-pillar of his step-mother, a short stone, thinking that with change of life her nature too was changed. But as he bent over the grave, the stone fell and killed the boy. Ye step-sons, shun even the grave of a step-mother."
Epig. 9,"Theaetetus travelled a splendid path. If that path, Bacchus, leads not to thine ivy wreath - other men's names the heralds will voice a little while, but his skill Hellas will voice for ever."
Epig. 10,"Short is the speech, Dionysus, of the successful poet: ""Won,"" says he, at most. But if thou breathe not favourably and one ask, ""What luck?"" ""'Tis a hard business,"" he says. Be these the words of him who broods injustice; but mine, O Lord, the monosyllable !"
